link, desig, details, org, loc, exp, keyskills, descl, salary, date, expLow, expHigh, salLow, salHigh 
https://www.naukri.com/job-listings-Asst-Professor-HR-Gandhi-Group-of-Institutions-Gunupur-Dist-Rayagada-5-to-10-years-220318001611?src=jobsearchDesk&sid=152172265868&xp=1&px=2,Asst. Professor (HR),Asst. Professor (HR),Gandhi Group of Institutions,Gunupur- Dist Rayagada,5-10 yrs,Professor Activities- Teaching- Industrial Training- Business Management,Transforming a young graduate into a potential business manager within a span of two years by using all ...,Not disclosed,2018-03-22,5,10,0,0
https://www.naukri.com/job-listings-Walk-in-for-the-post-of-HR-Executive-Compliance-Payroll-Executive-Magic-Holidays-Mumbai-Mahim-United-Industrial-Estate-2-to-7-years-220318001314?src=jobsearchDesk&sid=152172265868&xp=2&px=2,Walk-in for the post of HR Executive - Compliance & Payroll Executive,Walk-in for the post of HR Executive - Compliance & Payroll Executive,Magic Holidays,Mumbai(Mahim United Industrial Estate),2-7 yrs,HR- PF- Gratuity- ESIC- Payroll- Salary Processing- Leave- Attendance- PT...,We have openings for the post of HR cum Payroll Executive  Designation: HR Executive- Payroll ...,200000 - 325000 P.A.,2018-03-22,2,7,200000,325000
https://www.naukri.com/job-listings-Opening-for-Domestic-Voice-Process-Thane-Hr-Ashiya-Confidential-Mumbai-Mumbai-Suburbs-Navi-Mumbai-0-to-5-years-210318003221?src=jobsearchDesk&sid=152172265868&xp=3&px=2,Opening for Domestic Voice Process @ Thane- Hr Ashiya,Opening for Domestic Voice Process @ Thane- Hr Ashiya,Confidential,Mumbai- Mumbai Suburbs- Navi Mumbai,0-5 yrs,salary- technical voice process- us shift- communication skills..., Urgent opening for Voice Process @ Sutherland  Processes: Voice Process  Eligibility: ...,Not disclosed,2018-03-22,0,5,0,0
https://www.naukri.com/job-listings-Sutherland-Hiring-for-International-Voice-Process-Meet-Hr-Ashiya-Sutherland-Mumbai-0-to-5-years-210318003044?src=jobsearchDesk&sid=152172265868&xp=4&px=2,Sutherland Hiring for International Voice Process Meet Hr Ashiya,Sutherland Hiring for International Voice Process Meet Hr Ashiya,Sutherland,Mumbai,0-5 yrs,international bpo- international voice process- verbal communication..., ,175000 - 375000 P.A. Best in Industry,2018-03-22,0,5,175000,375000
https://www.naukri.com/job-listings-Opportunity-for-Travel-Email-Process-Meet-Hr-Ashiya-Sutherland-Global-Services-Private-Limited-Mumbai-Mumbai-Suburbs-Navi-Mumbai-Thane-0-to-5-years-210318002186?src=jobsearchDesk&sid=152172265868&xp=5&px=2,Opportunity for Travel Email Process Meet Hr Ashiya,Opportunity for Travel Email Process Meet Hr Ashiya,Sutherland Global Services Private Limited,Mumbai- Mumbai Suburbs- Navi Mumbai- Thane,0-5 yrs,Travel- Hiring- IATA- Email Process- Verbal Communication- English Language..., ,100000 - 275000 P.A.,2018-03-22,0,5,100000,275000
https://www.naukri.com/job-listings-Wipro-Hiring-for-International-Airlines-in-Powai-HR-Tejal-Wipro-BPS-Mumbai-Mumbai-Suburbs-0-to-3-years-220318005963?src=jobsearchDesk&sid=152172265868&xp=6&px=2,Wipro Hiring for International Airlines in Powai HR Tejal,Wipro Hiring for International Airlines in Powai HR Tejal,Wipro BPS,Mumbai- Mumbai Suburbs,0-3 yrs,airlines- iata- voice process- international bpo- voice...,Wipro BPS is Hiring for  International Airlines Process . ( Voice Process ...,Not disclosed,2018-03-22,0,3,0,0
https://www.naukri.com/job-listings-Jr-HR-Officer-at-GGI-Gunupur-Vidya-Bharati-Educational-Trust-Gunupur-Rayagada-2-to-3-years-170318005421?src=jobsearchDesk&sid=152172265868&xp=7&px=2,Jr. HR Officer at GGI Gunupur,Jr. HR Officer at GGI Gunupur,Vidya Bharati Educational Trust,Gunupur Rayagada,2-3 yrs,Education and Teaching- Odisha- JR HR Officer- JR HR MANAGER...,   He should take the responsibility for smooth running of academic affairs.  ...,175000 - 300000 P.A. Bachelor Accommodation + other...,2018-03-22,2,3,175000,300000
https://www.naukri.com/job-listings-Wipro-is-Hiring-for-International-Airlines-Powai-HR-Tejal-Wipro-BPS-Mumbai-Mumbai-Suburbs-0-to-3-years-220318005958?src=jobsearchDesk&sid=152172265868&xp=8&px=2,Wipro is Hiring for International Airlines @ Powai HR Tejal,Wipro is Hiring for International Airlines @ Powai HR Tejal,Wipro BPS,Mumbai- Mumbai Suburbs,0-3 yrs,airlines- iata- international bpo- travel process- travel- reservation- cse...,Wipro BPS is Hiring for  International Airlines Process . ( Non Voice Process ...,Not disclosed,2018-03-22,0,3,0,0
https://www.naukri.com/job-listings-Intern-HR-Energo-Engineering-Projects-Ltd-Delhi-NCR-0-to-1-years-090118004970?src=jobsearchDesk&sid=152172265868&xp=9&px=2,Intern ( HR ),Intern ( HR ),Energo Engineering Projects Ltd,Delhi NCR,0-1 yrs,Excel- Word- MS Office- HR, Required candidates interested to start their career as HR (Interns).  Applicants must be ...,Not disclosed,2018-03-22,0,1,0,0
https://www.naukri.com/job-listings-Mega-Drive-for-Freshers-and-Experience-at-Wipro-Mumbai-HR-Pratika-Wipro-Ltd-Mumbai-Mumbai-Suburbs-0-to-5-years-220318001687?src=jobsearchDesk&sid=152172265868&xp=10&px=2,Mega Drive for Freshers and Experience at Wipro Mumbai!! HR Pratika,Mega Drive for Freshers and Experience at Wipro Mumbai!! HR Pratika,Wipro Ltd,Mumbai- Mumbai Suburbs,0-5 yrs,Airlines- IATA- Verbal Communication- Voice Process- travel...,                            ...,Not disclosed,2018-03-22,0,5,0,0
https://www.naukri.com/job-listings-Wipro-is-Hiring-for-Logistics-Process-Sat-sun-Fixed-OFF-HR-Khushboo-Wipro-BPS-Mumbai-Mumbai-Suburbs-0-to-3-years-220318001658?src=jobsearchDesk&sid=152172265868&xp=11&px=2,Wipro is Hiring for Logistics Process- Sat/sun Fixed OFF - HR Khushboo,Wipro is Hiring for Logistics Process- Sat/sun Fixed OFF - HR Khushboo,Wipro BPS,Mumbai- Mumbai Suburbs,0-3 yrs,voice process- international bpo- voice- cse- csa- csr- wipro- logistics...,Wipro BPS is Hiring for  International Logistics Process ( Voice Process ...,Not disclosed,2018-03-22,0,3,0,0
https://www.naukri.com/job-listings-Wipro-Hiring-for-CHAT-Email-Process-HR-Khushboo-Jain-Wipro-BPS-Mumbai-Mumbai-Suburbs-0-to-3-years-220318001619?src=jobsearchDesk&sid=152172265868&xp=12&px=2,Wipro Hiring for CHAT & Email Process HR Khushboo Jain,Wipro Hiring for CHAT & Email Process HR Khushboo Jain,Wipro BPS,Mumbai- Mumbai Suburbs,0-3 yrs,international bpo- travel process- cse- csa- csr- Email Process- Chat...,Wipro BPS is Hiring for  International Airlines Process . ( Non Voice Process ...,Not disclosed,2018-03-22,0,3,0,0
