"desig","details","org","loc","keyskills","date","expLow","expHigh","salLow","salHigh "
"Asst. Professor (HR)","Asst. Professor (HR)","Gandhi Group of Institutions","Gunupur- Dist Rayagada","Professor Activities- Teaching- Industrial Training- Business Management","2018-03-22",5.0,10.0,0.0,0.0
"Walk-in for the post of HR Executive - Compliance & Payroll Executive","Walk-in for the post of HR Executive - Compliance & Payroll Executive","Magic Holidays","Mumbai(Mahim United Industrial Estate)","HR- PF- Gratuity- ESIC- Payroll- Salary Processing- Leave- Attendance- PT...","2018-03-22",2.0,7.0,200000.0,325000.0
"Opening for Domestic Voice Process @ Thane- Hr Ashiya","Opening for Domestic Voice Process @ Thane- Hr Ashiya","Confidential","Mumbai- Mumbai Suburbs- Navi Mumbai","salary- technical voice process- us shift- communication skills...","2018-03-22",0.0,5.0,0.0,0.0
"Sutherland Hiring for International Voice Process Meet Hr Ashiya","Sutherland Hiring for International Voice Process Meet Hr Ashiya","Sutherland","Mumbai","international bpo- international voice process- verbal communication...","2018-03-22",0.0,5.0,175000.0,375000.0
"Opportunity for Travel Email Process Meet Hr Ashiya","Opportunity for Travel Email Process Meet Hr Ashiya","Sutherland Global Services Private Limited","Mumbai- Mumbai Suburbs- Navi Mumbai- Thane","Travel- Hiring- IATA- Email Process- Verbal Communication- English Language...","2018-03-22",0.0,5.0,100000.0,275000.0
"Wipro Hiring for International Airlines in Powai HR Tejal","Wipro Hiring for International Airlines in Powai HR Tejal","Wipro BPS","Mumbai- Mumbai Suburbs","airlines- iata- voice process- international bpo- voice...","2018-03-22",0.0,3.0,0.0,0.0
"Jr. HR Officer at GGI Gunupur","Jr. HR Officer at GGI Gunupur","Vidya Bharati Educational Trust","Gunupur Rayagada","Education and Teaching- Odisha- JR HR Officer- JR HR MANAGER...","2018-03-22",2.0,3.0,175000.0,300000.0
"Wipro is Hiring for International Airlines @ Powai HR Tejal","Wipro is Hiring for International Airlines @ Powai HR Tejal","Wipro BPS","Mumbai- Mumbai Suburbs","airlines- iata- international bpo- travel process- travel- reservation- cse...","2018-03-22",0.0,3.0,0.0,0.0
"Intern ( HR )","Intern ( HR )","Energo Engineering Projects Ltd","Delhi NCR","Excel- Word- MS Office- HR","2018-03-22",0.0,1.0,0.0,0.0
"Mega Drive for Freshers and Experience at Wipro Mumbai!! HR Pratika","Mega Drive for Freshers and Experience at Wipro Mumbai!! HR Pratika","Wipro Ltd","Mumbai- Mumbai Suburbs","Airlines- IATA- Verbal Communication- Voice Process- travel...","2018-03-22",0.0,5.0,0.0,0.0
"Wipro is Hiring for Logistics Process- Sat/sun Fixed OFF - HR Khushboo","Wipro is Hiring for Logistics Process- Sat/sun Fixed OFF - HR Khushboo","Wipro BPS","Mumbai- Mumbai Suburbs","voice process- international bpo- voice- cse- csa- csr- wipro- logistics...","2018-03-22",0.0,3.0,0.0,0.0
"Wipro Hiring for CHAT & Email Process HR Khushboo Jain","Wipro Hiring for CHAT & Email Process HR Khushboo Jain","Wipro BPS","Mumbai- Mumbai Suburbs","international bpo- travel process- cse- csa- csr- Email Process- Chat...","2018-03-22",0.0,3.0,0.0,0.0
"Wipro Hiring for International Airlines in Powai HR Khushboo","Wipro Hiring for International Airlines in Powai HR Khushboo","Wipro BPS","Mumbai- Mumbai Suburbs","airlines- iata- voice process- international bpo- voice...","2018-03-22",0.0,3.0,0.0,0.0
"Wipro Hiring for International Airlines in Powai HR Rachel (non-voice)","Wipro Hiring for International Airlines in Powai HR Rachel (non-voice)","Wipro BPS","Mumbai- Mumbai Suburbs- Navi Mumbai- Thane","airlines- iata- international bpo- voice- reservation & ticketing executive...","2018-03-22",0.0,5.0,0.0,0.0
"Wipro Hiring for International Airlines in Powai HR Rachel","Wipro Hiring for International Airlines in Powai HR Rachel","Wipro BPS","Mumbai- Mumbai Suburbs- Navi Mumbai- Thane","airlines- iata- voice process- international bpo- voice...","2018-03-22",0.0,5.0,0.0,0.0
"HR Executive Talent Acquisition","HR Executive Talent Acquisition","GGA India Private Limited","Gurgaon(Udyog Vihar)","Recruitment- Shortlisting- Talent Acquisition- HR- Sourcing","2018-03-22",2.0,5.0,150000.0,250000.0
"Senior HR Executive","Senior HR Executive","Tiol Private Limited TAX INDIA ONLINE.COM PRIVATE LTD.","Gurgaon","Senior HR- senior recruitment- senior talent acquisition","2018-03-22",2.0,4.0,0.0,0.0
"HR IT Recruiter Needed Urgently","HR IT Recruiter Needed Urgently","Greenleap Inspirations Consulting services LLP","Bengaluru","it recruitment- erp- crm- hr executive- us it recruitment- it staffing...","2018-03-22",3.0,4.0,425000.0,500000.0
"HR Executive Talent Acquisition","HR Executive Talent Acquisition","Competent Synergies Pvt. Ltd.","Chandigarh- Mohali","hr- talent acquisition- Recruitment- HR Executive- Recruitment Executive","2018-03-22",1.0,5.0,100000.0,200000.0
"HR Manager - Coimbatore (very Urgent)","HR Manager - Coimbatore (very Urgent)","AAR KAY MANAGEMENT CONSULTANTS","Coimbatore","Hr Mba- Recruitment- Human Resource Management- Salary- Presentation Skills","2018-03-22",5.0,6.0,350000.0,500000.0
"HR Professional","HR Professional","B3-BRAIN BEHIND BRAND","Kalyani","Recruitment- HR- Performance Appraisal- Training- Competency Mapping...","2018-03-22",2.0,4.0,0.0,0.0
"Mega Walkin: Hiring Freshers for HR Operations (US Shift) Bangalore","Mega Walkin: Hiring Freshers for HR Operations (US Shift) Bangalore","Artech Infosystems Pvt. Ltd.","Bengaluru","us staffing- us recruiter- night shift- us it staffing- technical recruiter...","2018-03-22",0.0,2.0,0.0,0.0
"Urgent Opening for HR Generalist /specialist in Leading Company","Urgent Opening for HR Generalist /specialist in Leading Company","Enrich and Enlight","Chennai","Recruitment- HR Generalist Activities- HR Operations- BPO...","2018-03-22",2.0,7.0,200000.0,450000.0
